Date,Bond_Yield_10Y,PE,ERP,IndexCode,IndexName,Currency,BondCode
1871-01-01,,7.25,,EEM,MSCI Emerging,USD,CN10Y
1871-02-01,,7.34,,EEM,MSCI Emerging,USD,CN10Y
1871-03-01,,7.52,,EEM,MSCI Emerging,USD,CN10Y
1871-04-01,,7.74,,EEM,MSCI Emerging,USD,CN10Y
1871-05-01,,7.93,,EEM,MSCI Emerging,USD,CN10Y
1871-06-01,,7.87,,EEM,MSCI Emerging,USD,CN10Y
1871-07-01,,7.72,,EEM,MSCI Emerging,USD,CN10Y
1871-08-01,,7.82,,EEM,MSCI Emerging,USD,CN10Y
1871-09-01,,7.9,,EEM,MSCI Emerging,USD,CN10Y
1871-10-01,,7.49,,EEM,MSCI Emerging,USD,CN10Y
1871-11-01,,7.57,,EEM,MSCI Emerging,USD,CN10Y
1871-12-01,,7.74,,EEM,MSCI Emerging,USD,CN10Y
1872-01-01,,7.88,,EEM,MSCI Emerging,USD,CN10Y
1872-02-01,,7.87,,EEM,MSCI Emerging,USD,CN10Y
1872-03-01,,8.08,,EEM,MSCI Emerging,USD,CN10Y
1872-04-01,,8.25,,EEM,MSCI Emerging,USD,CN10Y
1872-05-01,,8.2,,EEM,MSCI Emerging,USD,CN10Y
1872-06-01,,8.07,,EEM,MSCI Emerging,USD,CN10Y
1872-07-01,,7.98,,EEM,MSCI Emerging,USD,CN10Y
1872-08-01,,7.83,,EEM,MSCI Emerging,USD,CN10Y
1872-09-01,,7.65,,EEM,MSCI Emerging,USD,CN10Y
1872-10-01,,7.63,,EEM,MSCI Emerging,USD,CN10Y
1872-11-01,,7.56,,EEM,MSCI Emerging,USD,CN10Y
1872-12-01,,7.7,,EEM,MSCI Emerging,USD,CN10Y
1873-01-01,,7.72,,EEM,MSCI Emerging,USD,CN10Y
1873-02-01,,7.73,,EEM,MSCI Emerging,USD,CN10Y
1873-03-01,,7.63,,EEM,MSCI Emerging,USD,CN10Y
1873-04-01,,7.48,,EEM,MSCI Emerging,USD,CN10Y
1873-05-01,,7.45,,EEM,MSCI Emerging,USD,CN10Y
1873-06-01,,7.31,,EEM,MSCI Emerging,USD,CN10Y
1873-07-01,,7.25,,EEM,MSCI Emerging,USD,CN10Y
1873-08-01,,7.21,,EEM,MSCI Emerging,USD,CN10Y
1873-09-01,,6.62,,EEM,MSCI Emerging,USD,CN10Y
1873-10-01,,6.01,,EEM,MSCI Emerging,USD,CN10Y
1873-11-01,,5.76,,EEM,MSCI Emerging,USD,CN10Y
1873-12-01,,6.27,,EEM,MSCI Emerging,USD,CN10Y
1874-01-01,,6.61,,EEM,MSCI Emerging,USD,CN10Y
1874-02-01,,6.81,,EEM,MSCI Emerging,USD,CN10Y
1874-03-01,,6.71,,EEM,MSCI Emerging,USD,CN10Y
1874-04-01,,6.53,,EEM,MSCI Emerging,USD,CN10Y
1874-05-01,,6.36,,EEM,MSCI Emerging,USD,CN10Y
1874-06-01,,6.33,,EEM,MSCI Emerging,USD,CN10Y
1874-07-01,,6.33,,EEM,MSCI Emerging,USD,CN10Y
1874-08-01,,6.35,,EEM,MSCI Emerging,USD,CN10Y
