Date,Bond_Yield_10Y,PE,ERP,IndexCode,IndexName,Currency,BondCode
2005-01-03,0.0423,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-04,0.0429,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-05,0.0429,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-06,0.0429,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-07,0.0429,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-10,0.0429,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-11,0.0426,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-12,0.0425,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-13,0.042,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-14,0.0423,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-18,0.0421,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-19,0.042,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-20,0.0417,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-21,0.0416,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-24,0.0414,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-25,0.042,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-26,0.0421,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-27,0.0421999999999999,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-28,0.0416,,,QQQ,Nasdaq 100,USD,US10Y
2005-01-31,0.0414,,,QQQ,Nasdaq 100,USD,US10Y
2005-02-01,0.0415,,,QQQ,Nasdaq 100,USD,US10Y
2005-02-02,0.0415,,,QQQ,Nasdaq 100,USD,US10Y
2005-02-03,0.0418,,,QQQ,Nasdaq 100,USD,US10Y
2005-02-04,0.0409,,,QQQ,Nasdaq 100,USD,US10Y
2005-02-07,0.0407,,,QQQ,Nasdaq 100,USD,US10Y
2005-02-08,0.0405,,,QQQ,Nasdaq 100,USD,US10Y
2005-02-09,0.04,,,QQQ,Nasdaq 100,USD,US10Y
2005-02-10,0.0407,,,QQQ,Nasdaq 100,USD,US10Y
2005-02-11,0.0409999999999999,,,QQQ,Nasdaq 100,USD,US10Y
2005-02-14,0.0408,,,QQQ,Nasdaq 100,USD,US10Y
2005-02-15,0.0409999999999999,,,QQQ,Nasdaq 100,USD,US10Y
2005-02-16,0.0416,,,QQQ,Nasdaq 100,USD,US10Y
2005-02-17,0.0419,,,QQQ,Nasdaq 100,USD,US10Y
2005-02-18,0.0426999999999999,,,QQQ,Nasdaq 100,USD,US10Y
2005-02-22,0.0429,,,QQQ,Nasdaq 100,USD,US10Y
2005-02-23,0.0426999999999999,,,QQQ,Nasdaq 100,USD,US10Y
2005-02-24,0.0429,,,QQQ,Nasdaq 100,USD,US10Y
